Legger NVDB api til søkestien
telling      V4         301 Kantklippareal                                               langs-g/s 	      56 stk      26608 m      58252 m2 
telling      V2         301 Kantklippareal                                               langs-g/s 	      56 stk      26608 m      58252 m2 
differanse   V2 og V4   301 Kantklippareal                                               langs-g/s 	       0 stk          0 m          0 m2 
telling      V4         301 Kantklippareal                                               langs-E+R 	     488 stk     242257 m     909180 m2 
telling      V2         301 Kantklippareal                                               langs-E+R 	     488 stk     242257 m     909180 m2 
differanse   V2 og V4   301 Kantklippareal                                               langs-E+R 	       0 stk          0 m          0 m2 
telling      V4         301 Kantklippareal                                               langs-EV39 	     544 stk     268865 m     967432 m2 
telling      V3         301 Kantklippareal                                               langs-EV39 	     544 stk     268865 m     967432 m2 
differanse   V3 og V4   301 Kantklippareal                                               langs-EV39 	       0 stk          0 m          0 m2 
Debug kantklippareal ######################################################################################
Objekt Id;Vegkategori;Fase;vegnummer;trafikantgruppe;Kantklipp, anbefalt intervall;kantklippfaktor;orginal_areal;Areal;Klippebredde, faktisk;Lengde vegnett;Filteringshjelp
1008480272;E;V;39;G;2 g. pr år;2.0;nan;337.46999999999997;3.0;112.49;1
779726213;E;V;39;G;2 g. pr år;2.0;nan;5437.950000000001;3.0;1812.65;1
1009183970;E;V;39;G;2 g. pr år;2.0;nan;325.1;1.0;325.1;1
1009183971;E;V;39;G;2 g. pr år;2.0;nan;669.21;3.0;223.07;1
1009183972;E;V;39;G;2 g. pr år;2.0;nan;2334.6000000000004;3.0;778.2;1
1009183975;E;V;39;G;2 g. pr år;2.0;nan;302.94;3.0;100.98;1
1009183976;E;V;39;G;2 g. pr år;2.0;nan;767.8199999999999;3.0;255.94;1
1009183977;E;V;39;G;2 g. pr år;2.0;nan;386.91;1.0;386.91;1
1009183978;E;V;39;G;2 g. pr år;2.0;nan;4936.9800000000005;6.0;822.83;1
1009183981;E;V;39;G;2 g. pr år;2.0;nan;2235.12;3.0;745.04;1
1009183985;E;V;39;G;2 g. pr år;2.0;nan;249.01;1.0;249.01;1
1009183988;E;V;39;G;2 g. pr år;2.0;nan;1889.94;3.0;629.98;1
1009183989;E;V;39;G;2 g. pr år;2.0;nan;3296.01;3.0;1098.67;1
807548133;E;V;39;G;2 g. pr år;2.0;nan;539.68;2.0;269.84;1
807548134;E;V;39;G;2 g. pr år;2.0;nan;317.44;2.0;158.72;1
807548135;E;V;39;G;2 g. pr år;2.0;nan;158.22;2.0;79.11;1
807548136;E;V;39;G;2 g. pr år;2.0;nan;355.28;2.0;177.64;1
807548137;E;V;39;G;2 g. pr år;2.0;nan;515.04;2.0;257.52;1
807548138;E;V;39;G;2 g. pr år;2.0;nan;117.02;2.0;58.51;1
807548139;E;V;39;G;2 g. pr år;2.0;nan;376.46;2.0;188.23;1
807548140;E;V;39;G;2 g. pr år;2.0;nan;396.16;1.0;396.16;1
807548141;E;V;39;G;2 g. pr år;2.0;nan;431.4;2.0;215.7;1
917993933;E;V;39;G;1 g. pr år;1.0;nan;1529.57;1.0;1529.57;1
1008481460;E;V;39;G;2 g. pr år;2.0;nan;258.94;1.0;258.94;1
1008481460;E;V;39;G;2 g. pr år;2.0;nan;68.0;1.0;68.0;0
1008481461;E;V;39;G;2 g. pr år;2.0;nan;277.05;1.0;277.05;1
917993930;E;V;39;G;2 g. pr år;2.0;nan;554.94;2.0;277.47;1
779726214;E;V;39;G;2 g. pr år;2.0;nan;7889.38;2.0;3944.69;1
1008517321;E;V;39;G;3-5. hvert år;0.25;nan;436.69;1.0;436.69;1
1008517322;E;V;39;G;3-5. hvert år;0.25;nan;122.05;1.0;122.05;1
1008517320;E;V;39;G;3-5. hvert år;0.25;nan;115.25;1.0;115.25;1
779726216;E;V;39;G;3-5. hvert år;0.25;nan;102.44;2.0;51.22;1
1008517318;E;V;39;G;2 g. pr år;2.0;nan;121.82;2.0;60.91;1
732653521;E;V;39;G;2 g. pr år;2.0;nan;379.44;2.0;189.72;1
732653520;E;V;39;G;2 g. pr år;2.0;nan;378.08;2.0;189.04;1
732653517;E;V;39;G;2 g. pr år;2.0;nan;181.78;2.0;90.89;1
1008517323;E;V;39;G;2 g. pr år;2.0;nan;104.0;2.0;52.0;1
1008517324;E;V;39;G;2 g. pr år;2.0;nan;28.92;2.0;14.46;1
1008517326;E;V;39;G;2 g. pr år;2.0;nan;396.04;4.0;99.01;1
1008517325;E;V;39;G;2 g. pr år;2.0;nan;1779.6;4.0;444.9;1
1008517327;E;V;39;G;2 g. pr år;2.0;nan;52.02;1.0;52.02;1
1008517317;E;V;39;G;2 g. pr år;2.0;nan;1261.04;2.0;630.52;1
1008517317;E;V;39;G;2 g. pr år;2.0;nan;1828.4;2.0;914.2;0
779728874;E;V;39;G;1 g. pr år;1.0;nan;1024.04;2.0;512.02;1
779728876;E;V;39;G;1 g. pr år;1.0;nan;2844.62;2.0;1422.31;1
779726217;E;V;39;G;1 g. pr år;1.0;nan;288.3;2.0;144.15;1
779728875;E;V;39;G;1 g. pr år;1.0;nan;821.54;2.0;410.77;1
1008517203;E;V;39;G;1 g. pr år;1.0;nan;3079.62;6.0;513.27;1
1008517202;E;V;39;G;2 g. pr år;2.0;nan;216.12;3.0;72.04;1
1008517206;E;V;39;G;1 g. pr år;1.0;nan;43.18;1.0;43.18;1
779726212;E;V;39;G;1 g. pr år;1.0;nan;57.57;1.0;57.57;1
779726218;E;V;39;G;nan;1.0;nan;297.02;2.0;148.51;1
779728878;E;V;39;G;nan;1.0;nan;234.0;2.0;117.0;1
779728877;E;V;39;G;nan;1.0;nan;136.0;2.0;68.0;1
1008517205;E;V;39;G;2 g. pr år;2.0;nan;242.22;2.0;121.11;1
779726210;E;V;39;G;2 g. pr år;2.0;nan;250.2;2.0;125.1;1
779728873;E;V;39;G;1 g. pr år;1.0;nan;156.08;2.0;78.04;1
779726211;E;V;39;G;1 g. pr år;1.0;nan;1412.98;2.0;706.49;1
1008517206;E;V;39;G;1 g. pr år;1.0;nan;1624.12;1.0;1624.12;0
779726212;E;V;39;G;1 g. pr år;1.0;nan;1283.1;1.0;1283.1;0
Slutt Debug kantklippareal ######################################################################################
Anbefalt klippeareal for strekningen når vi kun tar med dem som har egenskapverdi "Areal" 0.0
Anbefalt klippeareal for strekningen når vi kun tar med dem som har egenskapverdi "Kantklipp, anbefalt intervall" 99646.3275
telling      V4         301 Kantklippareal, årlig anbefalt areal                         langs-g/s 	       - stk          - m      93613 m2 
telling      V2         301 Kantklippareal, årlig anbefalt areal                         langs-g/s 	       - stk          - m      58252 m2 
differanse   V2 og V4   301 Kantklippareal, årlig anbefalt areal                         langs-g/s 	       - stk          - m      35361 m2 AVVIK:   STORE arealavvik
Debug kantklippareal ######################################################################################
Objekt Id;Vegkategori;Fase;vegnummer;trafikantgruppe;Kantklipp, anbefalt intervall;kantklippfaktor;orginal_areal;Areal;Klippebredde, faktisk;Lengde vegnett;Filteringshjelp
1008477300;E;V;39;K;2 g. pr år;2;434.0;434.0;7.0;53.02;1
1008477299;E;V;39;K;2 g. pr år;2;nan;1913.7599999999998;3.0;637.92;1
1008477302;E;V;39;K;2 g. pr år;2;nan;1278.0;6.0;213.0;1
779726642;E;V;39;K;nan;1;nan;158.0;1.0;158.0;1
779729685;E;V;39;K;2 g. pr år;2;nan;1983.0;3.0;661.0;1
1008477303;E;V;39;K;2 g. pr år;2;nan;1192.0;2.0;596.0;1
1008477304;E;V;39;K;2 g. pr år;2;nan;2683.7400000000002;6.0;447.29;1
1008477305;E;V;39;K;2 g. pr år;2;nan;536.22;3.0;178.74;1
1008477306;E;V;39;K;2 g. pr år;2;nan;1485.3000000000002;6.0;247.55;1
779729686;E;V;39;K;nan;1;nan;619.47;3.0;206.49;1
1008477307;E;V;39;K;2 g. pr år;2;nan;908.04;6.0;151.34;1
1008477308;E;V;39;K;2 g. pr år;2;nan;2318.58;3.0;772.86;1
1008477309;E;V;39;K;2 g. pr år;2;nan;1337.43;3.0;445.81;1
779729686;E;V;39;K;nan;1;nan;1169.73;3.0;389.91;0
779729687;E;V;39;K;nan;1;nan;2543.67;3.0;847.89;1
1008477310;E;V;39;K;nan;1;nan;nan;nan;56.97;1
1008477311;E;V;39;K;2 g. pr år;2;nan;941.58;6.0;156.93;1
1008477313;E;V;39;K;2 g. pr år;2;nan;1647.06;3.0;549.02;1
1008477312;E;V;39;K;2 g. pr år;2;nan;11400.06;6.0;1900.01;1
1008477314;E;V;39;K;2 g. pr år;2;nan;264.0;2.0;132.0;1
1008477315;E;V;39;K;2 g. pr år;2;nan;510.04;2.0;255.02;1
1008477316;E;V;39;K;2 g. pr år;2;nan;1228.08;4.0;307.02;1
1008477317;E;V;39;K;2 g. pr år;2;nan;8640.57;3.0;2880.19;1
1008477318;E;V;39;K;2 g. pr år;2;nan;16573.079999999998;6.0;2762.18;1
1008477320;E;V;39;K;2 g. pr år;2;nan;5160.78;6.0;860.13;1
1008477319;E;V;39;K;2 g. pr år;2;nan;2121.36;3.0;707.12;1
1008477322;E;V;39;K;2 g. pr år;2;nan;2438.16;2.0;1219.08;1
1008477321;E;V;39;K;2 g. pr år;2;nan;2368.16;4.0;592.04;1
1008477323;E;V;39;K;2 g. pr år;2;nan;882.06;6.0;147.01;1
1008477324;E;V;39;K;2 g. pr år;2;nan;156.0;4.0;39.0;1
1008477326;E;V;39;K;2 g. pr år;2;nan;1930.5;6.0;321.75;1
1008477327;E;V;39;K;2 g. pr år;2;nan;135.2;4.0;33.8;1
1008477330;E;V;39;K;2 g. pr år;2;nan;354.0;6.0;59.0;1
1008477325;E;V;39;K;2 g. pr år;2;nan;2728.56;4.0;682.14;1
1008477331;E;V;39;K;2 g. pr år;2;nan;702.1800000000001;6.0;117.03;1
1008477332;E;V;39;K;2 g. pr år;2;nan;3178.82;2.0;1589.41;1
1008477329;E;V;39;K;2 g. pr år;2;nan;559.62;6.0;93.27;1
1008477328;E;V;39;K;2 g. pr år;2;nan;688.98;6.0;114.83;1
1008477333;E;V;39;K;2 g. pr år;2;nan;468.54;6.0;78.09;1
1008477334;E;V;39;K;2 g. pr år;2;nan;132.2;4.0;33.05;1
1008477335;E;V;39;K;2 g. pr år;2;1095.0;1095.0;7.0;156.93;1
1008477336;E;V;39;K;2 g. pr år;2;nan;207.72;4.0;51.93;1
1008477337;E;V;39;K;2 g. pr år;2;835.0;835.0;7.0;99.67;1
1008477338;E;V;39;K;2 g. pr år;2;nan;916.74;3.0;305.58;1
779726643;E;V;39;K;nan;1;nan;0.0;1.0;0.0;1
779726643;E;V;39;K;nan;1;nan;822.48;1.0;822.48;0
1008480259;E;V;39;K;1 g. pr år;1;nan;429.53;1.0;429.53;1
1008480260;E;V;39;K;1 g. pr år;1;nan;1056.3899999999999;3.0;352.13;1
1008480261;E;V;39;K;1 g. pr år;1;nan;857.24;2.0;428.62;1
1008480262;E;V;39;K;1 g. pr år;1;nan;325.21;1.0;325.21;1
779726644;E;V;39;K;nan;1;nan;447.99;1.0;447.99;1
779729688;E;V;39;K;nan;1;nan;671.97;3.0;223.99;1
779726645;E;V;39;K;1 g. pr år;1;nan;916.0;1.0;916.0;1
1008480263;E;V;39;K;1 g. pr år;1;nan;1020.0;3.0;340.0;1
779726646;E;V;39;K;nan;1;nan;120.0;1.0;120.0;1
779729689;E;V;39;K;nan;1;nan;1902.0;3.0;634.0;1
1008480264;E;V;39;K;1 g. pr år;1;nan;804.0;3.0;268.0;1
1008480266;E;V;39;K;1 g. pr år;1;nan;654.0;3.0;218.0;1
1008480265;E;V;39;K;1 g. pr år;1;nan;202.0;1.0;202.0;1
779726647;E;V;39;K;nan;1;nan;25.0;1.0;25.0;1
779726648;E;V;39;K;nan;1;nan;32.0;1.0;32.0;1
779726649;E;V;39;K;nan;1;nan;377.0;1.0;377.0;1
779726650;E;V;39;K;nan;1;nan;368.0;1.0;368.0;1
1008480250;E;V;39;K;1 g. pr år;1;nan;1095.0;3.0;365.0;1
1008480252;E;V;39;K;1 g. pr år;1;nan;1557.0;3.0;519.0;1
779726651;E;V;39;K;nan;1;nan;77.0;1.0;77.0;1
779729690;E;V;39;K;1 g. pr år;1;nan;566.63;1.0;566.63;1
1008480251;E;V;39;K;1 g. pr år;1;nan;714.0;6.0;119.0;1
1008480253;E;V;39;K;1 g. pr år;1;nan;162.0;1.0;162.0;1
779726653;E;V;39;K;1 g. pr år;1;nan;121.0;1.0;121.0;1
1013316364;E;V;39;K;nan;1;nan;290.0;1.0;290.0;1
1008480254;E;V;39;K;1 g. pr år;1;nan;600.0;6.0;100.0;1
1008480255;E;V;39;K;1 g. pr år;1;nan;1512.54;2.0;756.27;1
1008480267;E;V;39;K;1 g. pr år;1;nan;210.0;3.0;70.0;1
779729691;E;V;39;K;nan;1;nan;1851.69;3.0;617.23;1
779726655;E;V;39;K;nan;1;nan;272.04;1.0;272.04;1
1008480256;E;V;39;K;1 g. pr år;1;nan;288.0;2.0;144.0;1
1008853494;E;V;39;K;1 g. pr år;1;nan;676.86;2.0;338.43;1
1008480257;E;V;39;K;1 g. pr år;1;nan;1508.07;1.0;1508.07;1
1008853495;E;V;39;K;1 g. pr år;1;nan;790.14;6.0;131.69;1
779726656;E;V;39;K;1 g. pr år;1;nan;3137.48;2.0;1568.74;1
1008480258;E;V;39;K;1 g. pr år;1;nan;234.0;3.0;78.0;1
779726657;E;V;39;K;nan;1;nan;440.0;1.0;440.0;1
779726658;E;V;39;K;nan;1;nan;421.0;1.0;421.0;1
779729692;E;V;39;K;nan;1;nan;285.03000000000003;3.0;95.01;1
160124737;E;V;39;K;nan;1;nan;210.0;6.0;35.0;1
1008480268;E;V;39;K;2 g. pr år;2;nan;215.0;1.0;215.0;1
1008480271;E;V;39;K;2 g. pr år;2;nan;193.82;1.0;193.82;1
1008480269;E;V;39;K;1 g. pr år;1;nan;640.14;2.0;320.07;1
779726659;E;V;39;K;1 g. pr år;1;nan;2804.34;2.0;1402.17;1
1008480270;E;V;39;K;1 g. pr år;1;nan;1017.1200000000001;6.0;169.52;1
79240803;E;V;39;K;1 g. pr år;1;nan;8400.98;2.0;4200.49;1
79240661;E;V;39;K;nan;1;nan;828.0;6.0;138.0;1
779726660;E;V;39;K;nan;1;nan;585.0;1.0;585.0;1
779726661;E;V;39;K;nan;1;nan;1017.02;1.0;1017.02;1
79240805;E;V;39;K;nan;1;nan;8100.24;6.0;1350.04;1
779726662;E;V;39;K;nan;1;nan;122.01;1.0;122.01;1
779729693;E;V;39;K;nan;1;nan;494.93999999999994;3.0;164.98;1
779726663;E;V;39;K;nan;1;nan;1904.88;1.0;1904.88;1
160124935;E;V;39;K;2 g. pr år;2;nan;4845.450000000001;3.0;1615.15;1
779729694;E;V;39;K;nan;1;nan;1581.33;3.0;527.11;1
1008480273;E;V;39;K;2 g. pr år;2;nan;325.44;3.0;108.48;1
1008480274;E;V;39;K;1 g. pr år;1;nan;6149.34;6.0;1024.89;1
961597139;E;V;39;K;nan;1;180.0;180.0;6.0;28.0;1
961597140;E;V;39;K;nan;1;240.0;240.0;6.0;37.0;1
961597141;E;V;39;K;nan;1;240.0;240.0;6.0;38.0;1
961597142;E;V;39;K;nan;1;240.0;240.0;6.0;37.0;1
961597143;E;V;39;K;nan;1;240.0;240.0;6.0;38.0;1
961597144;E;V;39;K;nan;1;840.0;840.0;6.0;134.0;1
961597145;E;V;39;K;nan;1;240.0;240.0;6.0;38.0;1
961597146;E;V;39;K;nan;1;240.0;240.0;6.0;37.0;1
961597147;E;V;39;K;nan;1;240.0;240.0;6.0;38.0;1
961597148;E;V;39;K;nan;1;240.0;240.0;6.0;37.0;1
961597149;E;V;39;K;nan;1;240.0;240.0;6.0;38.0;1
961597150;E;V;39;K;nan;1;240.0;240.0;6.0;38.0;1
961597151;E;V;39;K;nan;1;240.0;240.0;6.0;37.0;1
961597152;E;V;39;K;nan;1;240.0;240.0;6.0;38.0;1
961597153;E;V;39;K;nan;1;240.0;240.0;6.0;37.0;1
961597154;E;V;39;K;nan;1;240.0;240.0;6.0;38.0;1
961597155;E;V;39;K;nan;1;240.0;240.0;6.0;38.0;1
961597156;E;V;39;K;nan;1;240.0;240.0;6.0;38.0;1
160124918;E;V;39;K;2 g. pr år;2;nan;4736.700000000001;6.0;789.45;1
961597138;E;V;39;K;nan;1;240.0;240.0;6.0;38.0;1
961597136;E;V;39;K;nan;1;nan;1554.0;6.0;259.0;1
160124910;E;V;39;K;2 g. pr år;2;nan;10357.17;3.0;3452.39;1
1008480275;E;V;39;K;2 g. pr år;2;nan;2440.0;2.0;1220.0;1
1008480276;E;V;39;K;2 g. pr år;2;nan;1071.0;3.0;357.0;1
1008480277;E;V;39;K;2 g. pr år;2;nan;340.0;2.0;170.0;1
1008480278;E;V;39;K;2 g. pr år;2;nan;1980.0;6.0;330.0;1
779729695;E;V;39;K;nan;1;nan;1494.0;6.0;249.0;1
160124902;E;V;39;K;1 g. pr år;1;nan;14056.32;6.0;2342.72;1
1008480279;E;V;39;K;1 g. pr år;1;nan;9342.0;6.0;1557.0;1
779729696;E;V;39;K;nan;1;nan;1089.03;3.0;363.01;1
1008480280;E;V;39;K;1 g. pr år;1;nan;2904.0;3.0;968.0;1
160124886;E;V;39;K;1 g. pr år;1;nan;3647.2799999999997;6.0;607.88;1
160124876;E;V;39;K;1 g. pr år;1;nan;4009.08;6.0;668.18;1
